# Nmap 7.94SVN scan initiated Mon Oct 20 13:15:15 2025 as: nmap -sS -v --reason -p 1-1024 -oN nmap/nmap_filtered_reason.txt 10.0.2.0/24
Nmap scan report for 10.0.2.0 [host down, received no-response]
Nmap scan report for 10.0.2.80 [host down, received no-response]
Nmap scan report for 10.0.2.81 [host down, received no-response]
Nmap scan report for 10.0.2.82 [host down, received no-response]
Nmap scan report for 10.0.2.83 [host down, received no-response]
Nmap scan report for 10.0.2.84 [host down, received no-response]
Nmap scan report for 10.0.2.85 [host down, received no-response]
Nmap scan report for 10.0.2.86 [host down, received no-response]
Nmap scan report for 10.0.2.87 [host down, received no-response]
Nmap scan report for 10.0.2.88 [host down, received no-response]
Nmap scan report for 10.0.2.89 [host down, received no-response]
Nmap scan report for 10.0.2.90 [host down, received no-response]
Nmap scan report for 10.0.2.91 [host down, received no-response]
Nmap scan report for 10.0.2.92 [host down, received no-response]
Nmap scan report for 10.0.2.93 [host down, received no-response]
Nmap scan report for 10.0.2.94 [host down, received no-response]
Nmap scan report for 10.0.2.95 [host down, received no-response]
Nmap scan report for 10.0.2.96 [host down, received no-response]
Nmap scan report for 10.0.2.97 [host down, received no-response]
Nmap scan report for 10.0.2.98 [host down, received no-response]
Nmap scan report for 10.0.2.99 [host down, received no-response]
Nmap scan report for 10.0.2.100 [host down, received no-response]
Nmap scan report for 10.0.2.101 [host down, received no-response]
Nmap scan report for 10.0.2.102 [host down, received no-response]
Nmap scan report for 10.0.2.103 [host down, received no-response]
Nmap scan report for 10.0.2.104 [host down, received no-response]
Nmap scan report for 10.0.2.105 [host down, received no-response]
Nmap scan report for 10.0.2.106 [host down, received no-response]
Nmap scan report for 10.0.2.107 [host down, received no-response]
Nmap scan report for 10.0.2.108 [host down, received no-response]
Nmap scan report for 10.0.2.109 [host down, received no-response]
Nmap scan report for 10.0.2.110 [host down, received no-response]
Nmap scan report for 10.0.2.111 [host down, received no-response]
Nmap scan report for 10.0.2.112 [host down, received no-response]
Nmap scan report for 10.0.2.113 [host down, received no-response]
Nmap scan report for 10.0.2.114 [host down, received no-response]
Nmap scan report for 10.0.2.115 [host down, received no-response]
Nmap scan report for 10.0.2.116 [host down, received no-response]
Nmap scan report for 10.0.2.117 [host down, received no-response]
Nmap scan report for 10.0.2.118 [host down, received no-response]
Nmap scan report for 10.0.2.119 [host down, received no-response]
Nmap scan report for 10.0.2.120 [host down, received no-response]
Nmap scan report for 10.0.2.121 [host down, received no-response]
Nmap scan report for 10.0.2.122 [host down, received no-response]
Nmap scan report for 10.0.2.123 [host down, received no-response]
Nmap scan report for 10.0.2.124 [host down, received no-response]
Nmap scan report for 10.0.2.125 [host down, received no-response]
Nmap scan report for 10.0.2.126 [host down, received no-response]
Nmap scan report for 10.0.2.127 [host down, received no-response]
Nmap scan report for 10.0.2.128 [host down, received no-response]
Nmap scan report for 10.0.2.129 [host down, received no-response]
Nmap scan report for 10.0.2.130 [host down, received no-response]
Nmap scan report for 10.0.2.131 [host down, received no-response]
Nmap scan report for 10.0.2.132 [host down, received no-response]
Nmap scan report for 10.0.2.133 [host down, received no-response]
Nmap scan report for 10.0.2.134 [host down, received no-response]
Nmap scan report for 10.0.2.135 [host down, received no-response]
Nmap scan report for 10.0.2.136 [host down, received no-response]
Nmap scan report for 10.0.2.137 [host down, received no-response]
Nmap scan report for 10.0.2.138 [host down, received no-response]
Nmap scan report for 10.0.2.139 [host down, received no-response]
Nmap scan report for 10.0.2.140 [host down, received no-response]
Nmap scan report for 10.0.2.141 [host down, received no-response]
Nmap scan report for 10.0.2.142 [host down, received no-response]
Nmap scan report for 10.0.2.143 [host down, received no-response]
Nmap scan report for 10.0.2.144 [host down, received no-response]
Nmap scan report for 10.0.2.145 [host down, received no-response]
Nmap scan report for 10.0.2.146 [host down, received no-response]
Nmap scan report for 10.0.2.147 [host down, received no-response]
Nmap scan report for 10.0.2.148 [host down, received no-response]
Nmap scan report for 10.0.2.149 [host down, received no-response]
Nmap scan report for 10.0.2.150 [host down, received no-response]
Nmap scan report for 10.0.2.151 [host down, received no-response]
Nmap scan report for 10.0.2.152 [host down, received no-response]
Nmap scan report for 10.0.2.153 [host down, received no-response]
Nmap scan report for 10.0.2.154 [host down, received no-response]
Nmap scan report for 10.0.2.155 [host down, received no-response]
Nmap scan report for 10.0.2.156 [host down, received no-response]
Nmap scan report for 10.0.2.157 [host down, received no-response]
Nmap scan report for 10.0.2.158 [host down, received no-response]
Nmap scan report for 10.0.2.159 [host down, received no-response]
Nmap scan report for 10.0.2.160 [host down, received no-response]
Nmap scan report for 10.0.2.161 [host down, received no-response]
Nmap scan report for 10.0.2.162 [host down, received no-response]
Nmap scan report for 10.0.2.163 [host down, received no-response]
Nmap scan report for 10.0.2.164 [host down, received no-response]
Nmap scan report for 10.0.2.165 [host down, received no-response]
Nmap scan report for 10.0.2.166 [host down, received no-response]
Nmap scan report for 10.0.2.167 [host down, received no-response]
Nmap scan report for 10.0.2.168 [host down, received no-response]
Nmap scan report for 10.0.2.169 [host down, received no-response]
Nmap scan report for 10.0.2.170 [host down, received no-response]
Nmap scan report for 10.0.2.171 [host down, received no-response]
Nmap scan report for 10.0.2.172 [host down, received no-response]
Nmap scan report for 10.0.2.173 [host down, received no-response]
Nmap scan report for 10.0.2.174 [host down, received no-response]
Nmap scan report for 10.0.2.175 [host down, received no-response]
Nmap scan report for 10.0.2.176 [host down, received no-response]
Nmap scan report for 10.0.2.177 [host down, received no-response]
Nmap scan report for 10.0.2.178 [host down, received no-response]
Nmap scan report for 10.0.2.179 [host down, received no-response]
Nmap scan report for 10.0.2.180 [host down, received no-response]
Nmap scan report for 10.0.2.181 [host down, received no-response]
Nmap scan report for 10.0.2.182 [host down, received no-response]
Nmap scan report for 10.0.2.183 [host down, received no-response]
Nmap scan report for 10.0.2.184 [host down, received no-response]
Nmap scan report for 10.0.2.185 [host down, received no-response]
Nmap scan report for 10.0.2.186 [host down, received no-response]
Nmap scan report for 10.0.2.187 [host down, received no-response]
Nmap scan report for 10.0.2.188 [host down, received no-response]
Nmap scan report for 10.0.2.189 [host down, received no-response]
Nmap scan report for 10.0.2.190 [host down, received no-response]
Nmap scan report for 10.0.2.191 [host down, received no-response]
Nmap scan report for 10.0.2.192 [host down, received no-response]
Nmap scan report for 10.0.2.193 [host down, received no-response]
Nmap scan report for 10.0.2.194 [host down, received no-response]
Nmap scan report for 10.0.2.195 [host down, received no-response]
Nmap scan report for 10.0.2.196 [host down, received no-response]
Nmap scan report for 10.0.2.197 [host down, received no-response]
Nmap scan report for 10.0.2.198 [host down, received no-response]
Nmap scan report for 10.0.2.199 [host down, received no-response]
Nmap scan report for 10.0.2.200 [host down, received no-response]
Nmap scan report for 10.0.2.201 [host down, received no-response]
Nmap scan report for 10.0.2.202 [host down, received no-response]
Nmap scan report for 10.0.2.203 [host down, received no-response]
Nmap scan report for 10.0.2.204 [host down, received no-response]
Nmap scan report for 10.0.2.205 [host down, received no-response]
Nmap scan report for 10.0.2.206 [host down, received no-response]
Nmap scan report for 10.0.2.207 [host down, received no-response]
Nmap scan report for 10.0.2.208 [host down, received no-response]
Nmap scan report for 10.0.2.209 [host down, received no-response]
Nmap scan report for 10.0.2.210 [host down, received no-response]
Nmap scan report for 10.0.2.211 [host down, received no-response]
Nmap scan report for 10.0.2.212 [host down, received no-response]
Nmap scan report for 10.0.2.213 [host down, received no-response]
Nmap scan report for 10.0.2.214 [host down, received no-response]
Nmap scan report for 10.0.2.215 [host down, received no-response]
Nmap scan report for 10.0.2.216 [host down, received no-response]
Nmap scan report for 10.0.2.217 [host down, received no-response]
Nmap scan report for 10.0.2.218 [host down, received no-response]
Nmap scan report for 10.0.2.219 [host down, received no-response]
Nmap scan report for 10.0.2.220 [host down, received no-response]
Nmap scan report for 10.0.2.221 [host down, received no-response]
Nmap scan report for 10.0.2.222 [host down, received no-response]
Nmap scan report for 10.0.2.223 [host down, received no-response]
Nmap scan report for 10.0.2.224 [host down, received no-response]
Nmap scan report for 10.0.2.225 [host down, received no-response]
Nmap scan report for 10.0.2.226 [host down, received no-response]
Nmap scan report for 10.0.2.227 [host down, received no-response]
Nmap scan report for 10.0.2.228 [host down, received no-response]
Nmap scan report for 10.0.2.229 [host down, received no-response]
Nmap scan report for 10.0.2.230 [host down, received no-response]
Nmap scan report for 10.0.2.231 [host down, received no-response]
Nmap scan report for 10.0.2.232 [host down, received no-response]
Nmap scan report for 10.0.2.233 [host down, received no-response]
Nmap scan report for 10.0.2.234 [host down, received no-response]
Nmap scan report for 10.0.2.235 [host down, received no-response]
Nmap scan report for 10.0.2.236 [host down, received no-response]
Nmap scan report for 10.0.2.237 [host down, received no-response]
Nmap scan report for 10.0.2.238 [host down, received no-response]
Nmap scan report for 10.0.2.239 [host down, received no-response]
Nmap scan report for 10.0.2.240 [host down, received no-response]
Nmap scan report for 10.0.2.241 [host down, received no-response]
Nmap scan report for 10.0.2.242 [host down, received no-response]
Nmap scan report for 10.0.2.243 [host down, received no-response]
Nmap scan report for 10.0.2.244 [host down, received no-response]
Nmap scan report for 10.0.2.245 [host down, received no-response]
Nmap scan report for 10.0.2.246 [host down, received no-response]
Nmap scan report for 10.0.2.247 [host down, received no-response]
Nmap scan report for 10.0.2.248 [host down, received no-response]
Nmap scan report for 10.0.2.249 [host down, received no-response]
Nmap scan report for 10.0.2.250 [host down, received no-response]
Nmap scan report for 10.0.2.251 [host down, received no-response]
Nmap scan report for 10.0.2.252 [host down, received no-response]
Nmap scan report for 10.0.2.253 [host down, received no-response]
Nmap scan report for 10.0.2.254 [host down, received no-response]
Nmap scan report for 10.0.2.255 [host down, received no-response]
Nmap scan report for 10.0.2.2
Host is up, received arp-response (0.0052s latency).
Not shown: 1019 filtered tcp ports (no-response)
PORT    STATE  SERVICE        REASON
135/tcp open   msrpc          syn-ack ttl 64
137/tcp closed netbios-ns     reset ttl 64
445/tcp open   microsoft-ds   syn-ack ttl 64
902/tcp open   iss-realsecure syn-ack ttl 64
912/tcp open   apex-mesh      syn-ack ttl 64
MAC Address: 52:55:0A:00:02:02 (Unknown)

Nmap scan report for 10.0.2.3
Host is up, received arp-response (0.0017s latency).
Not shown: 1023 filtered tcp ports (net-unreach)
PORT   STATE SERVICE REASON
53/tcp open  domain  syn-ack ttl 64
MAC Address: 52:55:0A:00:02:03 (Unknown)

Nmap scan report for 10.0.2.15
Host is up, received localhost-response (0.0000040s latency).
Not shown: 1023 closed tcp ports (reset)
PORT   STATE SERVICE REASON
80/tcp open  http    syn-ack ttl 64

Read data files from: /usr/bin/../share/nmap
# Nmap done at Mon Oct 20 13:15:22 2025 -- 256 IP addresses (3 hosts up) scanned in 6.94 seconds
